# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
186 18.55 0.736667 0.609715 0.576996 0.69124 -0.82076 -0.35397 -0.87173
187 18.65 0.81 0.663481 0.723126 0.600403 -0.550628 -0.730914 -0.932025
188 18.75 0.783333 0.671708 0.616518 0.582174 -1.02033 -1.38313 -1.00623
189 18.85 0.686667 0.675146 0.657735 0.674135 -1.17605 -1.2245 -1.01295
190 18.95 0.74 0.554209 0.556032 0.599812 -0.918665 -1.02395 -0.994449
191 19.05 0.76 0.751481 0.635479 0.61701 -0.789536 -0.647312 -0.945267
192 19.15 0.77 0.634561 0.654395 0.635105 -0.809273 -0.630055 -0.845153
193 19.25 0.826667 0.631369 0.645048 0.746522 -1.28491 -1.05611 -0.881729
194 19.35 0.73 0.607181 0.607458 0.574041 -1.03695 -0.718247 -0.797732
195 19.45 0.706667 0.552409 0.654131 0.593514 -0.64274 -0.479575 -0.812777
196 19.55 0.753333 0.68984 0.663443 0.659259 -1.1582 -0.911753 -0.832347
197 19.65 0.836667 0.66009 0.77326 0.719747 -0.802117 -0.209749 -0.826284
198 19.75 0.813333 0.640397 0.608179 0.73397 -0.696193 -0.450868 -0.836536
199 19.85 0.716667 0.473984 0.631428 0.759304 -0.46797 -0.785357 -0.87657
200 19.95 0.706667 0.559628 0.706455 0.797921 -0.980853 -0.969072 -0.860878
201 20.05 0.79 0.62131 0.6359 0.634145 -0.757331 -1.22803 -0.885517
202 20.15 0.77 0.758981 0.637427 0.653528 -0.820046 -0.984799 -0.936941
203 20.25 0.77 0.575401 0.659141 0.676208 -0.69219 -0.725303 -0.929652
204 20.35 0.656667 0.594108 0.611333 0.585804 -0.874353 -0.707928 -0.845153
205 20.45 0.796667 0.616065 0.571554 0.709914 -1.11959 -1.04753 -0.913787
206 20.55 0.796667 0.686907 0.594868 0.796323 -0.304227 -0.411464 -0.98349
207 20.65 0.723333 0.630106 0.568533 0.593515 -0.516166 -0.804421 -0.960416
208 20.75 0.696667 0.606421 0.574953 0.556058 -0.837306 -1.28459 -0.950204
209 20.85 0.813333 0.716893 0.773133 0.679267 -0.756176 -0.900467 -0.945799
