# Time-averaged data for fix fS
# TimeStep Number-of-rows
# Row c_pSR[1] c_pSR[2] c_pSR[3] c_pSR[4] c_pSR[5] c_pSR[6] c_pSR[7] c_pSR[8]
0 360
311 31.05 0.1 0.253962 0.0868164 0.000180079 -0.00789917 -0.0227472 -0.016837
312 31.15 0 0 0 0 -0.00557249 -0.0187 -0.0147391
313 31.25 0 0 0 0 -0.00557249 -0.0187 -0.0147391
314 31.35 0 0 0 0 -0.00557249 -0.0187 -0.0147391
315 31.45 0.1 0.244844 0.00714418 0.111945 0.0332179 0.0160094 -0.00661397
316 31.55 0 0 0 0 0.0611924 0.0410408 -0.000754329
317 31.65 0.1 0.00309366 0.000176882 0.0449419 -0.000607918 -0.0246354 -0.00942909
318 31.75 0 0 0 0 -0.0124671 -0.0372383 -0.0110937
319 31.85 0 0 0 0 -0.0124671 -0.0372383 -0.0110937
320 31.95 0 0 0 0 -0.0124671 -0.0372383 -0.0110937
321 32.05 0 0 0 0 -0.0124671 -0.0372383 -0.0110937
322 32.15 0.1 0.00114839 0.238391 0.000356434 -0.00911345 -0.0272212 -0.00810952
323 32.25 0 0 0 0 0 0 0
324 32.35 0 0 0 0 0 0 0
325 32.45 0 0 0 0 0 0 0
326 32.55 0 0 0 0 0 0 0
327 32.65 0.1 0.000813066 0.117291 0.280502 -0.0340979 -0.00204936 -0.00630252
328 32.75 0 0 0 0 -0.0357795 -0.00215043 -0.00661335
329 32.85 0 0 0 0 -0.0357795 -0.00215043 -0.00661335
330 32.95 0 0 0 0 -0.0357795 -0.00215043 -0.00661335
331 33.05 0 0 0 0 -0.0357795 -0.00215043 -0.00661335
332 33.15 0.1 0.246927 0.432216 0.0040082 -0.0153345 -0.000934294 -0.00286315
333 33.25 0 0 0 0 -0.00100913 -8.21676e-05 -0.000235465
334 33.35 0 0 0 0 -0.00100913 -8.21676e-05 -0.000235465
335 33.45 0 0 0 0 -0.00100913 -8.21676e-05 -0.000235465
336 33.55 0.1 0.0728104 0.0305728 0.00327176 -0.000924168 -8.13738e-05 -0.000254884
337 33.65 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
338 33.75 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
339 33.85 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
340 33.95 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
341 34.05 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
342 34.15 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
343 34.25 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
344 34.35 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
345 34.45 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
346 34.55 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
347 34.65 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
348 34.75 0 0 0 0 -0.000243707 -7.50159e-05 -0.000410407
349 34.85 0.1 0.0943608 0.453187 0.0289363 -0.000243707 -7.50159e-05 -0.000410407
350 34.95 0.1 0.0159216 0.0113843 0.134483 -0.000243707 -7.50159e-05 -0.000410407
