# Time-averaged data for fix fa
# TimeStep Number-of-rows
# Row c_pA[1] c_pA[2] c_pA[3] c_pA[4] c_pA[5] c_pA[6] c_pA[7] c_pA[8]
0 360
328 32.75 0 0 0 0 -0.00010803 -0.00010803 -0.000368914
329 32.85 0 0 0 0 -9.69519e-05 -9.69519e-05 -0.000370491
330 32.95 0.1 0.236178 0.0135937 0.000677077 -0.00033378 -0.00376817 -0.000390281
331 33.05 0.1 0.00135215 0.0400256 0.00160909 -0.00185549 -0.00805957 -0.00741084
332 33.15 0 0 0 0 -0.00211383 -0.00245393 -0.0103683
333 33.25 0 0 0 0 -0.00213427 -0.00247437 -0.0103717
334 33.35 0 0 0 0 -0.0021258 -0.0024659 -0.0103687
335 33.45 0 0 0 0 -0.00212508 -0.00246518 -0.0103722
336 33.55 0 0 0 0 -0.00212917 -0.00246927 -0.010368
337 33.65 0 0 0 0 -0.00211696 -0.00245706 -0.010373
