# Chunk-averaged data for fix dens and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 238 2000.0000000000007
  220 21.95 1.935 0.137346
  221 22.05 1.575 0.111793
  222 22.15 1.495 0.106115
  223 22.25 1.39 0.0986618
  224 22.35 1.1 0.0780777
  225 22.45 1.36 0.0965324
  226 22.55 1.1 0.0780777
  227 22.65 1.015 0.0720444
  228 22.75 0.9 0.0638817
  229 22.85 0.965 0.0684954
  230 22.95 0.92 0.0653013
  231 23.05 0.855 0.0606876
  232 23.15 0.835 0.059268
  233 23.25 0.85 0.0603327
  234 23.35 0.84 0.0596229
  235 23.45 0.705 0.0500407
  236 23.55 0.89 0.0631719
  237 23.65 0.79 0.056074
  238 23.75 0.315 0.0223586
