# Time-averaged data for fix fF
# TimeStep Number-of-rows
# Row c_pFull[1] c_pFull[2] c_pFull[3] c_pFull[4] c_pFull[5] c_pFull[6] c_pFull[7] c_pFull[8]
0 360
172 17.15 1 0.495241 0.668971 0.465736 0.367439 0.378849 -0.882949
173 17.25 1 0.666025 1.09384 0.614834 0.715174 -0.114763 -0.520756
174 17.35 1.5 1.34652 1.71346 1.20202 -0.144618 0.232305 -1.16957
175 17.45 0.3 0.441011 0.231643 0.699756 -2.08256 -2.51609 -1.41341
176 17.55 0.5 0.335435 0.174124 0.733388 -0.952363 0.746457 -1.36473
177 17.65 0.4 0.0776451 0.139382 0.310832 1.1616 -1.40663 -1.31337
178 17.75 0.9 0.619686 0.967737 0.869436 1.63911 -2.03185 -1.22219
179 17.85 0.7 0.391385 0.490359 0.718367 -0.660532 -2.39625 -0.891681
180 17.95 0.8 0.419473 0.73682 1.10618 -2.35038 -1.97568 -1.0092
181 18.05 1 0.887901 1.41418 0.832752 -3.14023 -0.178256 -1.01414
182 18.15 0.6 0.438876 0.510616 0.363271 0.12957 -1.06909 -0.794459
183 18.25 0.7 0.778639 0.353225 0.386385 -2.80119 -1.10272 -0.951444
184 18.35 1.1 0.835589 0.373777 0.532233 -1.05957 0.921628 -0.42176
185 18.45 0.6 0.286741 0.440121 0.803459 -1.72265 0.0656139 -0.101824
186 18.55 0.8 0.328205 0.920168 0.768441 4.00684 0.996886 -0.0888797
187 18.65 0.7 0.518894 0.81292 0.550195 -1.21868 0.503866 -0.110171
188 18.75 0.5 0.67329 0.474437 0.289708 -1.0821 -0.627943 -0.322509
189 18.85 1.1 0.625096 0.37607 0.491188 -0.910222 0.813799 -1.19016
190 18.95 0.2 0.0282691 0.116273 0.135034 -1.87203 -0.947824 -1.3973
191 19.05 1.6 1.67317 1.74839 0.891389 -2.02085 -1.34601 -1.7265
192 19.15 0.5 0.133417 0.341675 0.50647 -2.13165 -1.71793 -1.39998
193 19.25 0.9 0.728404 0.535767 1.08173 0.200225 2.1911 -1.25091
194 19.35 0.6 0.38268 0.150056 0.672002 -0.727504 0.219131 -1.47657
195 19.45 0.9 1.38085 0.833997 0.124694 0.594798 1.81645 -1.17043
196 19.55 0.5 0.274766 0.144467 0.158001 -0.504009 -0.0888754 -1.05902
197 19.65 1 0.664206 0.971724 0.674403 -1.60258 -1.79329 -0.969692
198 19.75 0.6 0.572092 0.368207 0.829194 -1.34674 -1.17314 -0.450061
199 19.85 0.9 2.06605 0.389755 1.91715 -1.1839 -1.85989 -0.668037
200 19.95 0.7 0.642629 0.573197 0.991786 -0.466808 1.10564 -0.465033
201 20.05 0.7 0.235578 0.371654 0.365332 -1.7952 1.06667 -0.985082
202 20.15 1 1.02268 0.809518 0.491061 -3.82326 -1.91885 -1.14923
203 20.25 1 0.621951 0.916558 0.664631 -2.14382 -2.51178 -1.01013
204 20.35 0.6 0.154085 0.1061 0.471153 -1.48887 -2.29401 -0.603785
205 20.45 0.7 0.904615 0.846066 0.487462 -0.744424 -0.138978 -0.970931
206 20.55 0.5 0.584075 0.199263 0.254734 -0.853758 -0.605026 -0.895824
207 20.65 0.7 1.12159 0.771122 0.267588 -0.831567 1.54094 -0.595935
