# Time-averaged data for fix fK
# TimeStep Number-of-rows
# Row c_pKS[1] c_pKS[2] c_pKS[3] c_pKS[4] c_pKS[5] c_pKS[6] c_pKS[7] c_pKS[8]
0 360
288 28.75 0 0 0 0 -0.00292286 -0.00292286 -0.00572167
289 28.85 0 0 0 0 -0.00165976 -0.00165976 -0.00454658
290 28.95 0 0 0 0 -0.000512859 -0.000512859 -0.00155379
291 29.05 0 0 0 0 -0.000491784 -0.000491784 -0.00152702
292 29.15 0 0 0 0 -0.000520961 -0.000520961 -0.00157053
293 29.25 0 0 0 0 -0.000491885 -0.000491885 -0.00152106
294 29.35 0 0 0 0 -0.000518332 -0.000518332 -0.00157197
295 29.45 0 0 0 0 -0.000495185 -0.000495185 -0.0015218
296 29.55 0 0 0 0 -0.000514799 -0.000514799 -0.00156923
297 29.65 0 0 0 0 -0.000498986 -0.000498986 -0.001527
298 29.75 0 0 0 0 -0.000511551 -0.000511551 -0.00156249
299 29.85 0 0 0 0 -0.000502736 -0.000502736 -0.0015332
300 29.95 0 0 0 0 -0.000508788 -0.000508788 -0.00155762
301 30.05 0 0 0 0 -0.000506817 -0.000506817 -0.00153816
302 30.15 0 0 0 0 -0.000506666 -0.000506666 -0.00155048
303 30.25 0 0 0 0 -0.000517952 -0.000517952 -0.0015496
304 30.35 0 0 0 0 -0.00102225 -0.00102225 -0.00176108
305 30.45 0 0 0 0 -0.000481706 -0.000481706 -0.00122138
306 30.55 0 0 0 0 -0.000483855 -0.000483855 -0.00127776
307 30.65 0 0 0 0 -0.00102931 -0.00102931 -0.00163261
308 30.75 0 0 0 0 -0.0005122 -0.0005122 -0.00102605
309 30.85 0 0 0 0 -0.000496755 -0.000496755 -0.00104044
310 30.95 0 0 0 0 -0.00112406 -0.00112406 -0.00155331
311 31.05 0 0 0 0 -0.000960206 -0.000960206 -0.00137793
312 31.15 0 0 0 0 -0.000412491 -0.000412491 -0.000719391
313 31.25 0 0 0 0 -0.000411584 -0.000411584 -0.000716301
314 31.35 0 0 0 0 -0.000409188 -0.000409188 -0.000727179
315 31.45 0 0 0 0 -0.000936652 -0.000936652 -0.000857724
316 31.55 0 0 0 0 -0.00040913 -0.00040913 -0.000582032
317 31.65 0 0 0 0 -0.000858288 -0.000858288 -0.000633066
318 31.75 0 0 0 0 -0.000267402 -0.000267402 -0.000467323
319 31.85 0 0 0 0 -0.000298337 -0.000298337 -0.000490258
320 31.95 0 0 0 0 -0.000283702 -0.000283702 -0.000473124
321 32.05 0 0 0 0 -0.000280774 -0.000280774 -0.000488106
322 32.15 0 0 0 0 -0.000800696 -0.000800696 -0.000647353
323 32.25 0 0 0 0 -0.000272944 -0.000272944 -0.000439167
324 32.35 0 0 0 0 -0.000257339 -0.000257339 -0.000435997
325 32.45 0 0 0 0 -0.00025988 -0.00025988 -0.000440355
326 32.55 0 0 0 0 -0.000280704 -0.000280704 -0.000435457
327 32.65 0 0 0 0 -0.000708902 -0.000708902 -0.000925159
328 32.75 0 0 0 0 -0.000213151 -0.000213151 -0.000409304
329 32.85 0 0 0 0 -0.000227863 -0.000227863 -0.000416605
330 32.95 0 0 0 0 -0.000220989 -0.000220989 -0.000407795
331 33.05 0 0 0 0 -0.000208436 -0.000208436 -0.000419275
332 33.15 0 0 0 0 -0.00068766 -0.00068766 -0.000997706
333 33.25 0 0 0 0 -0.000198595 -0.000198595 -0.000370167
334 33.35 0 0 0 0 -0.000198715 -0.000198715 -0.000369127
335 33.45 0 0 0 0 -0.000197962 -0.000197962 -0.000373333
336 33.55 0 0 0 0 -0.000625663 -0.000625663 -0.000867542
337 33.65 0 0 0 0 -0.000173369 -0.000173369 -0.000326981
338 33.75 0 0 0 0 -0.000151069 -0.000151069 -0.000323684
339 33.85 0 0 0 0 -0.000156126 -0.000156126 -0.00032691
340 33.95 0 0 0 0 -0.000152435 -0.000152435 -0.000323744
341 34.05 0 0 0 0 -0.000154658 -0.000154658 -0.000326659
342 34.15 0 0 0 0 -0.000153515 -0.000153515 -0.000323786
343 34.25 0 0 0 0 -0.000153718 -0.000153718 -0.000326787
344 34.35 0 0 0 0 -0.000154757 -0.000154757 -0.000323718
345 34.45 0 0 0 0 -0.000152644 -0.000152644 -0.000326575
346 34.55 0 0 0 0 -0.000156936 -0.000156936 -0.00032414
347 34.65 0 0 0 0 -0.000150105 -0.000150105 -0.000326097
348 34.75 0 0 0 0 -0.000175588 -0.000175588 -0.000324208
349 34.85 0 0 0 0 -0.000610944 -0.000610944 -0.000487408
350 34.95 0 0 0 0 -0.000569211 -0.000569211 -0.000438838
351 35.05 0 0 0 0 -0.00018984 -0.00018984 -0.000280791
352 35.15 0 0 0 0 -0.000193769 -0.000193769 -0.000280783
353 35.25 0 0 0 0 -0.00018368 -0.00018368 -0.000282273
354 35.35 0 0 0 0 -0.000904754 -0.000904754 -0.000718793
355 35.45 0 0 0 0 -9.15098e-05 -9.15098e-05 -0.000240643
356 35.55 0 0 0 0 -7.62827e-05 -7.62827e-05 -0.000241576
357 35.65 0 0 0 0 -6.50463e-05 -6.50463e-05 -0.000240896
358 35.75 0 0 0 0 -7.14401e-05 -7.14401e-05 -0.000241572
359 35.85 0 0 0 0 -6.65128e-05 -6.65128e-05 -0.000240599
360 35.95 0 0 0 0 -7.00485e-05 -7.00485e-05 -0.000241747
2000 360
1 0.05 0 0 0 0 -0.000149581 -0.000149581 -0.000312267
2 0.15 0 0 0 0 -0.000383403 -0.000383403 -0.000516536
3 0.25 0 0 0 0 -0.000117468 -0.000117468 -0.00029223
4 0.35 0 0 0 0 -0.00012822 -0.00012822 -0.000294911
5 0.45 0 0 0 0 -0.00012463 -0.00012463 -0.000293329
6 0.55 0 0 0 0 -0.000126632 -0.000126632 -0.000294343
7 0.65 0 0 0 0 -0.000125828 -0.000125828 -0.000293675
8 0.75 0 0 0 0 -0.000125714 -0.000125714 -0.000294113
9 0.85 0 0 0 0 -0.000127045 -0.000127045 -0.000293793
10 0.95 0 0 0 0 -0.000120567 -0.000120567 -0.000294442
