# Time-averaged data for fix fB
# TimeStep Number-of-rows
# Row c_pB[1] c_pB[2] c_pB[3] c_pB[4] c_pB[5] c_pB[6] c_pB[7] c_pB[8]
0 360
263 26.25 0.4 0.189759 0.207773 0.125969 -1.2853 -1.08197 -0.648013
264 26.35 0.6 0.700074 0.589321 0.544728 -0.545804 -1.27234 -0.436916
265 26.45 0.5 0.0208314 0.57817 0.716382 -1.02839 -0.836798 -0.420578
266 26.55 0.4 0.989372 0.365865 0.0675187 -1.16878 -0.813293 -0.279549
267 26.65 0.3 0.0618274 0.33259 0.43601 -0.685832 -0.572847 -0.147901
268 26.75 0.4 0.118131 0.705588 0.112068 -0.536436 -0.745486 0.182424
269 26.85 0.2 0.0246179 0.232578 0.467382 -0.183411 -0.523775 0.178516
270 26.95 0 0 0 0 -0.116755 -0.483429 0.175405
271 27.05 0 0 0 0 -0.116755 -0.483429 0.175405
272 27.15 0.1 0.121022 0.0396995 0.330065 -0.197132 -0.566885 0.178823
273 27.25 0.2 0.132315 0.144668 0.308828 -0.0198314 -0.428007 0.194743
274 27.35 0.3 0.314818 0.0281369 0.142471 -0.0127693 -0.207074 0.140422
275 27.45 0.1 0.0359416 0.000822197 0.0555943 -0.0372489 -0.0536691 0.204766
276 27.55 0.1 0.0279366 0.0862337 0.0338217 0.566349 -0.182562 0.0394423
277 27.65 0.3 0.115044 0.0947283 0.343338 1.09895 0.118937 -0.125944
278 27.75 0 0 0 0 -0.0404707 -0.039131 -0.0902025
279 27.85 0.1 0.0850145 0.230572 0.0290923 -0.036347 -0.0348962 -0.0827747
280 27.95 0 0 0 0 -0.0138664 -0.0118096 -0.042281
281 28.05 0 0 0 0 -0.0138664 -0.0118096 -0.042281
282 28.15 0 0 0 0 -0.0138664 -0.0118096 -0.042281
283 28.25 0 0 0 0 -0.0138664 -0.0118096 -0.042281
284 28.35 0 0 0 0 -0.0138664 -0.0118096 -0.042281
285 28.45 0 0 0 0 -0.0138664 -0.0118096 -0.042281
286 28.55 0 0 0 0 -0.0138664 -0.0118096 -0.042281
287 28.65 0.2 0.0330124 0.0395949 0.802214 0.887554 0.185579 0.0022323
288 28.75 0.1 0.0829409 0.000934341 0.0539489 1.28619 0.274281 0.0465248
289 28.85 0.1 0.0282559 0.00959816 0.000780088 0.264439 0.056652 0.0058975
290 28.95 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
291 29.05 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
292 29.15 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
293 29.25 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
294 29.35 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
295 29.45 0 0 0 0 -0.00134087 -0.000443217 -0.00649249
